# 中兴通讯 提交列表（纯文本视图）
# 共 354 个提交
# 生成时间: 2026-05-19 22:52:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
5d17c0c0 | 2025-12-22 | Clément Léger | riscv: uaccess: do not do misaligned accesses in get/put_user()
a4f91b2d | 2025-12-22 | Alexandre Ghiti | riscv: make unsafe user copy routines use existing assembly routines
10947361 | 2025-12-22 | Jisheng Zhang | riscv: uaccess: use 'asm_goto_output' for get_user()
0145277b | 2025-12-22 | Jisheng Zhang | riscv: uaccess: use 'asm goto' for put_user()
821e2497 | 2025-12-22 | Jisheng Zhang | riscv: uaccess: use input constraints for ptr of __put_user()
299ce27a | 2025-12-22 | Jisheng Zhang | riscv: implement user_access_begin() and families
87db66db | 2025-12-22 | Ben Dooks | riscv: save the SR_SUM status over switches
0570c5e5 | 2011-12-08 | Tejun Heo | Revert "mm: Modify __find_max_addr for memory hole"
4f31a1d5 | 2021-12-06 | Alexandre Ghiti | Revert "riscv: mm: Clear compilation warning about last_cpupid"
de1a03c1 | 2025-11-12 | shenlin | perf vendor events riscv: add lrw core JSON file with metric support
b8746a45 | 2025-11-11 | Fei Liu | i2c: Add driver for the LRW I2C
49dd7737 | 2025-09-29 | Fei Liu | dt-bindings: i2c: Add binding for LRW I2C
bb0e485e | 2025-11-12 | Jie Feng | drivers/perf: add LRW DDR PMU support
a8872a55 | 2025-09-04 | Wenhong Liu | serial: Add driver for the LRW UART
70ca715f | 2025-09-04 | Wenhong Liu | dt-bindings: serial: Add binding for LRW UART
b807b1f2 | 2025-10-16 | Wenhong Liu | riscv: defconfig: remove CONFIG_CMDLINE and CONFIG_CMDLINE_EXTEND as mainline does
f67e33a0 | 2025-08-27 | Himanshu Chauhan | riscv: Enable APEI and NMI safe cmpxchg options required for RAS
de4813bb | 2025-08-27 | Himanshu Chauhan | riscv: Add config option to enable APEI SSE handler
283c9584 | 2025-08-27 | Himanshu Chauhan | riscv: Introduce HEST SSE notification handlers
19b58782 | 2025-08-27 | Himanshu Chauhan | riscv: Add RISC-V entries in processor type and ISA strings
d9182568 | 2025-08-27 | Himanshu Chauhan | riscv: Add functions to register ghes having SSE notification
4616beb1 | 2025-08-27 | Himanshu Chauhan | riscv: conditionally compile GHES NMI spool function
cc4f9fbf | 2025-08-27 | Himanshu Chauhan | riscv: Add fixmap indices for GHES IRQ and SSE contexts
2fc0a73f | 2025-08-27 | Himanshu Chauhan | acpi: Introduce SSE in HEST notification types
9e27c5dc | 2025-08-27 | Himanshu Chauhan | riscv: Define arch_apei_get_mem_attribute for RISC-V
d4a396c1 | 2025-08-27 | Himanshu Chauhan | riscv: Define ioremap_cache for RISC-V
59f7a9ec | 2025-08-27 | Clément Léger | selftests/riscv: add SSE test module
141f4c80 | 2025-08-27 | Clément Léger | perf: RISC-V: add support for SSE event
ad5632a1 | 2025-08-27 | Clément Léger | drivers: firmware: add riscv SSE support
d29e89c9 | 2025-08-27 | Clément Léger | riscv: add support for SBI Supervisor Software Events extension
44361dc4 | 2025-08-08 | Clément Léger | riscv: add SBI SSE extension definitions
6a9347c5 | 2025-10-14 | Sunil V L | iommu/riscv: Add ACPI support
db635f51 | 2025-10-14 | Sunil V L | ACPI: scan: Add support for RISC-V in acpi_iommu_configure_id()
177bf292 | 2025-10-14 | Sunil V L | ACPI: RISC-V: Add support for RIMT
9d305c38 | 2025-10-13 | Sunil V L | ACPICA: actbl2: Add definitions for RIMT
748d30eb | 2025-09-20 | shenlin | perf vendor events riscv: add lrw core JSON file
c3e234e2 | 2025-04-21 | Alexandre Ghiti | riscv: Add support for Zicbop
fa15f003 | 2025-04-21 | Alexandre Ghiti | riscv: Introduce Zicbop instructions
d808742c | 2025-02-26 | Yunhui Cui | RISC-V: Enable cbo.clean/flush in usermode
47208b6d | 2024-08-14 | Samuel Holland | riscv: Add support for per-thread envcfg CSR values
bbdf0e47 | 2024-06-19 | Clément Léger | RISC-V: KVM: Allow Zaamo/Zalrsc extensions for Guest/VM
c2bc66ad | 2024-06-19 | Clément Léger | riscv: hwprobe: export Zaamo and Zalrsc extensions
ac4af8db | 2024-06-19 | Clément Léger | riscv: add parsing for Zaamo and Zalrsc extensions
326682c5 | 2025-02-13 | Inochi Amaoto | riscv: hwprobe: export bfloat16 ISA extension
99a82208 | 2025-02-13 | Inochi Amaoto | riscv: add ISA extension parsing for bfloat16 ISA extension
4f306687 | 2024-05-24 | Xiao Wang | riscv, bpf: Introduce shift add helper with Zba optimization
81958ac3 | 2024-05-16 | Xiao Wang | riscv, bpf: Optimize zextw insn with Zba extension
b64bb09f | 2024-01-15 | Pu Lehui | riscv, bpf: Optimize bswap insns with Zbb support
0f671a96 | 2024-01-15 | Pu Lehui | riscv, bpf: Optimize sign-extention mov insns with Zbb support
ccc6bc0c | 2024-01-15 | Pu Lehui | riscv, bpf: Add necessary Zbb instructions
9d83d620 | 2024-01-15 | Pu Lehui | riscv, bpf: Simplify sext and zext logics in branch instructions
9d99253f | 2024-01-15 | Pu Lehui | riscv, bpf: Unify 32-bit zero-extension to emit_zextw
4e8ecf0d | 2024-01-15 | Pu Lehui | riscv, bpf: Unify 32-bit sign-extension to emit_sextw
5cc12bc0 | 2025-03-12 | Robin Murphy | iommu: Don't warn prematurely about dodgy probes
a8e6b5f6 | 2024-10-09 | Lu Baolu | iommu: Remove iommu_domain_alloc()
9763d022 | 2024-10-09 | Lu Baolu | iommu: Remove iommu_present()
e7cf4807 | 2024-09-02 | Lu Baolu | drm/tegra: Use iommu_paging_domain_alloc()
4e626a55 | 2024-09-02 | Lu Baolu | drm/rockchip: Use iommu_paging_domain_alloc()
6733bcce | 2024-06-10 | Lu Baolu | RDMA/usnic: Use iommu_paging_domain_alloc()
e38238ba | 2024-08-12 | Lu Baolu | soc: fsl: qbman: Use iommu_paging_domain_alloc()
b6d6ddfb | 2024-08-12 | Lu Baolu | remoteproc: Use iommu_paging_domain_alloc()
52555b87 | 2024-08-12 | Lu Baolu | media: venus: firmware: Use iommu_paging_domain_alloc()
821e852d | 2024-08-12 | Lu Baolu | media: nvidia: tegra: Use iommu_paging_domain_alloc()
41623077 | 2024-08-12 | Lu Baolu | gpu: host1x: Use iommu_paging_domain_alloc()
9eddc688 | 2024-09-02 | Lu Baolu | drm/nouveau/tegra: Use iommu_paging_domain_alloc()
98925e3b | 2024-06-10 | Lu Baolu | wifi: ath11k: Use iommu_paging_domain_alloc()
1ecce27d | 2024-06-10 | Lu Baolu | wifi: ath10k: Use iommu_paging_domain_alloc()
9fc450f4 | 2024-06-10 | Lu Baolu | drm/msm: Use iommu_paging_domain_alloc()
61d5a5e2 | 2024-06-10 | Lu Baolu | vhost-vdpa: Use iommu_paging_domain_alloc()
ec9c2d57 | 2024-06-10 | Lu Baolu | vfio/type1: Use iommu_paging_domain_alloc()
e640cce2 | 2024-06-10 | Lu Baolu | iommufd: Use iommu_paging_domain_alloc()
